subject,relation,object,category,max_confidence,max_domain_similarity,evidence_count,sources,example_sentence
pectoralis major,flex,shoulder,biomechanics,0.631,0.808,1,strongerbyscience_bench_press.html,"Because of that, the pecs and the triceps can work synergistically at both the elbow and shoulder; the pecs help the triceps extend the elbow, and the triceps help the pecs horizontally flex the shoulder."
triceps,extend,elbow,biomechanics,0.631,0.808,1,strongerbyscience_bench_press.html,"Because of that, the pecs and the triceps can work synergistically at both the elbow and shoulder; the pecs help the triceps extend the elbow, and the triceps help the pecs horizontally flex the shoulder."
eccentric phase,require,less shoulder horizontal abduction,biomechanics,0.545,0.746,1,nasm_bench_press.html,"In addition, this position may be less aggravating for people with a history of shoulder pain because the eccentric phase requires less shoulder horizontal abduction and places a greater emphasis on sagittal plane shoulder extension."
technique,negate_of,shoulder flexion demands,biomechanics,0.537,0.741,1,strongerbyscience_bench_press.html,"It IS true that this technique effectively negates the vast majority of shoulder flexion demands, but it also increases range of motion and increases your risk of shoulder injury (that much horizontal flexion while in internal rotation is a good recipe for AC joint impingement)."
total force vector,influence,moments,biomechanics,0.532,0.737,1,frontiersin_bench_press.html,This means that the total force vector could influence the moments around the elbow from flexion to an extension moment.
muscle fibers,produce,most force,biomechanics,0.525,0.732,1,strongerbyscience_bench_press.html,"Muscle fibers themselves produce the most force when they’re around resting length, and their capacity to produce force increases or decreases as they lengthen or shorten (red curve below)."
muscles,produce,large enough internal extensor moments,biomechanics,0.525,0.732,1,strongerbyscience_bench_press.html,The two factors that determine whether your muscles can produce large enough internal extensor moments to lift a load are the attachment points of the muscles and the force with which they can contract. -
concentric phase,encompass,entire lifting motion,biomechanics,0.524,0.732,1,mdpi_bench_press.html,"In the current work, after characterising the technical movement, it has been demonstrated that the concentric phase does not encompass the entire lifting motion (rise of the barbell)."
motion,limit_of,powerful sternoclavicular portion,biomechanics,0.518,0.727,1,nasm_bench_press.html,"In other words, an individual will have to use a lighter weight because this motion limits activation of the powerful sternoclavicular portion of the pectoralis muscle."
internal moment arm,involve_with,joint angles,biomechanics,0.514,0.724,1,strongerbyscience_bench_press.html,"To add another variable into the mix, the internal moment arm (the leverage a muscle has to pull against the bone it moves) of the muscles involved changes with joint angles as well, so not only does contractile force vary, but the ability to translate that contractile force to internal joint moments varies as well."
passive elements,produce_of,force,biomechanics,0.497,0.712,1,strongerbyscience_bench_press.html,"Furthermore, passive elements in the muscle – structural proteins and connective tissue – produce increasing amounts of force as a muscle lengthens as well (blue curve)."
muscles,produce_of,force,biomechanics,0.478,0.699,1,strongerbyscience_bench_press.html,There’s a simple explanation: Muscles don’t produce the same amount of force over their entire range of motion.
bar,impose,elbow extensor moment,biomechanics,0.449,0.678,1,strongerbyscience_bench_press.html,"Furthermore, since they don’t allow (or at least encourage) the same degree of horizontal forces, this will help us see how the lift can still be challenging for your triceps while the bar is imposing an elbow extensor moment, and it’ll also help us understand why you can bench more than you can dumbbell bench (it’s not just a matter of stability)."
current muscle mass,produce,more force,biomechanics,0.443,0.673,1,strongerbyscience_bench_press.html,There are only two ways to do that: a) increase your skill as a bencher so your current muscle mass can produce more force during the movement and b) add more muscle!
force,need,little further explanation,biomechanics,0.436,0.669,1,robertson_bench_press.html,"Force needs a little further explanation: Force = Mass x Acceleration Mass is essentially the weight on the bar, and acceleration is how fast you are moving the bar (remember, this is a generalization, used to prove a point)."
only factor,increase,contractile force,biomechanics,0.433,0.667,1,strongerbyscience_bench_press.html,"Unfortunately, you can’t change muscle attachment points, so the only factor within your control is increasing contractile force."
bar,exert_of,force,biomechanics,0.422,0.658,1,strongerbyscience_bench_press.html,"If you weren’t supporting the bar, it would accelerate downward at 9.8m/sec2 (due to gravity), so the bar is exerting 150kg x 9.8m/sec2 = 1470N of force upon your hands and arms."
movement pattern,lower,bar,domain,0.608,0.863,1,nasm_bench_press.html,"Movement Pattern > Lower the barbell toward your chest, by flexing your elbows while maintaining scapulae retraction."
scapular retraction,limit_of,scapula,domain,0.507,0.791,1,nasm_bench_press.html,"Scapular retraction also limits protraction and anterior tilting of scapulae (rounding the shoulders forward) during the exercise (Duffey, 2008)."
long head,cross,shoulder,domain,0.471,0.765,1,strongerbyscience_bench_press.html,"The other two heads only cross the elbow, while the long head also crosses the shoulder to aid in shoulder extension."
other two heads,cross,elbow,domain,0.471,0.765,1,strongerbyscience_bench_press.html,"The other two heads only cross the elbow, while the long head also crosses the shoulder to aid in shoulder extension."
barbell movement,follow,very similar pattern,domain,0.466,0.761,1,mdpi_bench_press.html,"Regarding the analysis of the movement pattern in this training exercise, the first study on BP kinematics [24] revealed that the barbell movement followed a very similar pattern across subjects."
two heads,perform,elbow extension,domain,0.461,0.758,1,strongerbyscience_bench_press.html,"The two heads that originate on the humerus only perform elbow extension, while the long head can also aid in shoulder extension."
triceps,help,both pecs,domain,0.431,0.737,1,strongerbyscience_bench_press.html,"Also, your triceps can help out both your pecs and delts which are in a more stretched and vulnerable position."
muscle irradiation,help,triceps contract,domain,0.378,0.698,1,strongerbyscience_bench_press.html,"Maybe muscle irradiation (when one muscle contracts hard, it’s easier for nearby muscles to contract hard – in this case, your forearm muscles contracting as hard as possible may help your triceps contract harder)."
triceps,give,extra kick,domain,0.376,0.697,1,strongerbyscience_bench_press.html,"Here’s how I like to think of it: pecs provide the “strength base” for the movement, while the triceps give you the extra kick you need for heavier weights."
triceps,aid,pectoralis major,domain,0.373,0.695,1,strongerbyscience_bench_press.html,"However, because they allow you to impart lateral forces on the bar, your triceps actually aid your pecs substantially as well."
bench,train_of,triceps,domain,0.371,0.694,1,strongerbyscience_bench_press.html,"Because of that, the bench probably doesn’t train the long head of your triceps nearly as much as the other two heads."
elite powerlifters,perform_with,excessive lumbar extension,domain,0.37,0.693,1,nasm_bench_press.html,"Elite powerlifters may perform the lift with excessive lumbar extension (arched low-back), but this position is not advised for the general fitness enthusiast unless properly instructed, and the person has a specific goal to increase 1 repetition maximum performance."
shoulder flexion,demand,peak,domain,0.363,0.688,1,strongerbyscience_bench_press.html,This should be your default assumption since the shoulder flexion demands peak at the bottom of the lift and then drop off dramatically.
hand-off,take,bar,domain,0.361,0.686,1,robertson_bench_press.html,The hand-off should take the bar to an area above the lower pectoral or high abdominal area (see note below!).
scapulae,move,four basic ways,domain,0.359,0.685,1,strongerbyscience_bench_press.html,Your scapulae can move four basic ways.
typical men’s barbell,weigh,45 pounds,domain,0.357,0.684,1,Nike_bench_press.html,"Make It Easier Lighten the load by using an empty barbell (meaning don’t add weight plates; a typical women’s barbell is about 35 pounds, while a typical men’s barbell weighs 45 pounds—so it’s still something."
triceps contract,impose,lateral forces,domain,0.347,0.677,1,strongerbyscience_bench_press.html,"If your elbows are pointed out, then when your triceps contract, they’re mainly imposing lateral forces on the weight."
triceps,extend,elbows,domain,0.306,0.647,1,strongerbyscience_bench_press.html,"For now, so we don’t get too bogged down before getting into the really meaty part of this article, let’s just stick with the same answer: Your triceps extend your elbows."
triceps,contribute,anything,domain,0.302,0.644,1,strongerbyscience_bench_press.html,"However, by the top, it doesn’t feel like your triceps are contributing anything at all to the movement."
gravity,pull,bar,domain,0.293,0.638,1,strongerbyscience_bench_press.html,"Remember, gravity is always pulling the bar straight down."
position,place,shoulder,domain,0.29,0.636,1,nasm_bench_press.html,"However, this position may place the shoulder in a vulnerable position (Green, 2007)."
article,address,bar path,domain,0.261,0.615,1,strongerbyscience_bench_press.html,This article addresses bar path in much greater detail.
few people,prefer,retraction,domain,0.248,0.606,1,strongerbyscience_bench_press.html,A few people actually prefer retraction and elevation.
most elite lifters,utilize,bar path,domain,0.236,0.597,1,strongerbyscience_bench_press.html,"Most elite lifters utilize this bar path (up and back, then straight up), whereas most novice lifters drive the bar straight up initially, then up and back to lock out."
most novice lifters,drive,bar,domain,0.236,0.597,1,strongerbyscience_bench_press.html,"Most elite lifters utilize this bar path (up and back, then straight up), whereas most novice lifters drive the bar straight up initially, then up and back to lock out."
descent,lower,bar,domain,0.213,0.581,1,strongerbyscience_bench_press.html,Descent Your next order of business is lowering the bar.
next order,lower,bar,domain,0.213,0.581,1,strongerbyscience_bench_press.html,Descent Your next order of business is lowering the bar.
first things,check,wrist position,domain,0.189,0.564,1,strongerbyscience_bench_press.html,"First things first, check your wrist position."
internal moments,calculate,same way,domain,0.161,0.544,1,strongerbyscience_bench_press.html,Internal moments are calculated the same way external moments are.
bench press,reduce,workload,technique,0.618,0.834,1,muscleandmotion_bench_press.html,Overly narrow barbell grip Gripping the barbell with your hands too close together during the bench press reduces the workload placed on the pectoralis major and increases the amount of work done by the anterior deltoid and triceps muscles.
pectoralis muscles,enter,stretch reflex position,technique,0.592,0.816,1,nasm_bench_press.html,"When performing a bench press with a retracted scapula, some argue the pectoralis muscles enter the stretch reflex position sooner during the eccentric phase."
bar,impose,flexor,technique,0.576,0.804,1,strongerbyscience_bench_press.html,The trickier part: Whether the bar imposes a flexor or extensor moment at the elbow depends on your grip width.
medium grip width,create,elbow flexion moments,technique,0.546,0.783,1,frontiersin_bench_press.html,"Furthermore, the wide grip width creates medially directed resultant forces, the medium grip width creates mainly vertical resultant forces, and the narrow grip width creates laterally directed resultant forces, as well as elbow flexion moments."
medium grip width,create,mainly vertical resultant forces,technique,0.546,0.783,1,frontiersin_bench_press.html,"Furthermore, the wide grip width creates medially directed resultant forces, the medium grip width creates mainly vertical resultant forces, and the narrow grip width creates laterally directed resultant forces, as well as elbow flexion moments."
narrow grip width,create,laterally directed resultant forces,technique,0.546,0.783,1,frontiersin_bench_press.html,"Furthermore, the wide grip width creates medially directed resultant forces, the medium grip width creates mainly vertical resultant forces, and the narrow grip width creates laterally directed resultant forces, as well as elbow flexion moments."
wide grip width,create,medially directed resultant forces,technique,0.546,0.783,1,frontiersin_bench_press.html,"Furthermore, the wide grip width creates medially directed resultant forces, the medium grip width creates mainly vertical resultant forces, and the narrow grip width creates laterally directed resultant forces, as well as elbow flexion moments."
assists,stabilize,torso,technique,0.539,0.778,1,muscleandmotion_bench_press.html,Pectoralis major – primary shoulder horizontal adduction - Anterior deltoid – assists in shoulder horizontal adduction - Coracobrachialis – assists in shoulder horizontal adduction - Triceps brachii – elbow extension - Serratus anterior – scapula protraction - Abdominal muscles – stabilize the torso How to bench press properly: step-by-step - Lie with your back on a flat bench and hold a barbell in your hands.
bar,apply,downward force,technique,0.539,0.778,1,strongerbyscience_bench_press.html,"In the bench press, the bar applies a downward force that exerts an external flexor moment at your elbow, and external extensor and horizontal extensor moments at your shoulder. -"
wide and medium grip widths,produce,similar shoulder,technique,0.534,0.774,1,frontiersin_bench_press.html,"Hence, the wide and medium grip widths produced similar shoulder and elbow joint moments and moment arm at the first located lowest barbell velocity."
position,create_of,support,technique,0.529,0.771,1,nasm_bench_press.html,"This position creates a stable base of support against the bench for the shoulders, decreases anterior forces through the shoulder complex particularly during the eccentric phase, and may improve activation of the pectoralis muscles (Duffey, 2008; Bench Press Analysis)."
grip width,determine,horizontal flexion demands,technique,0.527,0.769,1,strongerbyscience_bench_press.html,"In simple terms, grip width determines horizontal flexion demands; the further the lateral distance between your hand and your shoulder, the longer the horizontal flexion moment arm."
muscles,generate_in,sticking region,technique,0.504,0.753,1,frontiersin_bench_press.html,"Considering EMG activity during different grip widths along with the horizontal forces around the sticking region could provide more detailed information about how these muscles generate forces in the sticking region during different grip widths, and how to manipulate the sticking region by choosing a grip width that supports individual strength and weaknesses."
grip widths,demonstrate,similar horizontal forces,technique,0.495,0.746,1,frontiersin_bench_press.html,"During the sticking region, all grip widths demonstrated similar horizontal forces, but resultant forces decreased, which suggests that this is a poor biomechanical region despite the grip width that is used in the bench press exercise."
medium and wide grip widths,decrease,shoulder extension moments,technique,0.494,0.746,1,frontiersin_bench_press.html,"Where the medium and wide grip widths decreased the shoulder extension moments, the narrow grip width increased the shoulder extension moment during the sticking region."
greater shoulder flexion moment,create_on,proximal prime movers,technique,0.492,0.745,1,frontiersin_bench_press.html,"A greater shoulder flexion moment could create higher demands on the proximal prime movers, while the narrow grip width could create higher demands on the distal prime movers; however, the only difference in muscle activity between the three grip widths was found in the medial triceps brachii, which was lower in the wide grip condition as compared with the other two."
narrow grip width,create_on,distal prime movers,technique,0.492,0.745,1,frontiersin_bench_press.html,"A greater shoulder flexion moment could create higher demands on the proximal prime movers, while the narrow grip width could create higher demands on the distal prime movers; however, the only difference in muscle activity between the three grip widths was found in the medial triceps brachii, which was lower in the wide grip condition as compared with the other two."
wide and medium grip widths,produce,greater horizontal shoulder moments,technique,0.479,0.735,1,frontiersin_bench_press.html,The wide and medium grip widths produced greater horizontal shoulder moments than the narrow grip width during the sticking region.
lateral triceps,increase,muscle activity,technique,0.476,0.733,1,frontiersin_bench_press.html,"Furthermore, the medial triceps increased muscle activity through the regions for the wide and medium bench press conditions, while the lateral triceps increased muscle activity from the pre-sticking to the post-sticking region."
medial triceps,increase,muscle activity,technique,0.476,0.733,1,frontiersin_bench_press.html,"Furthermore, the medial triceps increased muscle activity through the regions for the wide and medium bench press conditions, while the lateral triceps increased muscle activity from the pre-sticking to the post-sticking region."
bench press,maximize,chest and triceps development,technique,0.475,0.732,1,strongerbyscience_bench_press.html,"Will the bench press, alone, maximize chest and triceps development?"
muscle,perform,eccentric muscle action,technique,0.475,0.732,1,nasm_bench_press.html,"It is also important to note that muscle activation varies depending if the muscle is performing an eccentric muscle action or a concentric muscle contraction, as well as the technique selected by the lifter (i.e., wide grip versus narrow grip)."
triceps,hit,floor,technique,0.475,0.732,1,Nike_bench_press.html,"If the range of motion is tricky for you, do a floor press by lying face up on the floor and lowering your arms until your triceps hit the floor."
many people,supinate,forearms,technique,0.469,0.728,1,strongerbyscience_bench_press.html,"However, for other people, it’s much less comfortable than benching with a pronated grip; many people can’t comfortably supinate their forearms well enough, it puts a pretty fair amount of stress on your wrists since you have to reverse grip bench with your wrists cocked back, and it puts a fair amount of stress on your biceps tendons and the other muscles/tendons/ligaments on the front of your shoulder."
wide grip,produce,13.1–15.7% lateral forces,technique,0.466,0.726,1,frontiersin_bench_press.html,"Furthermore, the wide grip width produced 13.1–15.7% lateral forces, while the medium and narrow grip widths produced 0.4–1.8 and 8.5–10.1% medially directed forces of the vertical force produced during the sticking region, respectively."
stronger arm,support,load,technique,0.463,0.723,1,strongerbyscience_bench_press.html,"For these people, the arm they lock out first is generally the weaker arm – the stronger arm supports the load while the weaker arm gets to press the weight out at an angle, instead of straight up."
horizontal forces,investigate_of,horizontal force component,technique,0.462,0.723,1,frontiersin_bench_press.html,"Duffey and Challis () therefore suggested that the horizontal forces during bench press result from the muscles' engagement in order to generate vertical force; they did not, however, investigate the effect of a horizontal force component in the sticking region."
upper arms,abduct,about 45°,technique,0.459,0.721,1,nasm_bench_press.html,"Start with a standard grip of the bar approximately shoulder-width and the upper arms abducted about 45°, and avoid an excessively wide or narrow grip."
30° inclination,produce_of,pectoralis major’s upper portion,technique,0.455,0.718,1,muscleandmotion_bench_press.html,"Incline Bench Press: In this exercise, a 30° inclination will produce greater activation of the pectoralis major’s upper portion."
incline bench press,produce_of,pectoralis major’s upper portion,technique,0.455,0.718,1,muscleandmotion_bench_press.html,"Incline Bench Press: In this exercise, a 30° inclination will produce greater activation of the pectoralis major’s upper portion."
technical improvements,help,bench press,technique,0.455,0.718,1,strongerbyscience_bench_press.html,"Bench with a variety of different grips (both width, and pronated/supinated) Pin press from varying heights Board press with various boards DB bench press Bench with a cambered (MacDonald) bar Bench with pauses of varying lengths At the end of the day… Ultimately, technical improvements can help your bench press dramatically (for both strength and longevity)."
barbell bench press,build,serious upper-body strength,technique,0.453,0.717,1,Nike_bench_press.html,"The barbell bench press, one of the “big three” in powerlifting, builds serious upper-body strength and, you guessed it, power, thanks to the number of muscle fibers it activates with every rep."
lifter,perform,same testing routine,technique,0.452,0.716,1,frontiersin_bench_press.html,"Then, the lifter performed the same testing routine as they did with the first grip width."
wide and medium grip widths,enable,more load,technique,0.449,0.713,1,frontiersin_bench_press.html,It is also speculated that the wide and medium grip widths enable more load to be lifted because they produce greater shoulder flexion moments during all events.
bar path,affect,horizontal flexion demands,technique,0.446,0.711,1,strongerbyscience_bench_press.html,"Bar path doesn’t affect horizontal flexion demands, but grip width does."
bench press,engage,so many muscles,technique,0.443,0.709,1,Nike_bench_press.html,"Because the bench press engages so many muscles at once, it can help you build muscle mass and see definition quicker than most upper-body exercises."
bar,touch_for,maximum muscle engagement,technique,0.442,0.709,1,muscleandmotion_bench_press.html,"Not using a full range of motion is often due to a lack of knowledge, but this can easily be corrected by understanding that the bar should touch the chest for maximum muscle engagement."
powerlifters,arch,back,technique,0.439,0.706,1,muscleandmotion_bench_press.html,"Powerlifters arch their back and lift their chest up in order to reduce the distance the barbell needs to travel from the starting position to the chest, thus allowing them to lift heavier weights. *"
kinematic factors,influence_in,injury risk,technique,0.438,0.706,1,strongerbyscience_bench_press.html,Kinematic Factors influencing performance in injury risk in the bench press exercise.
triceps,help,shoulders,technique,0.436,0.704,1,strongerbyscience_bench_press.html,"While tucking enough that your elbows wind up in front of the bar does make the lift harder on your triceps, this technique can also help you drive the bar back up off your chest (as discussed in the previous section) at the start of the press, allowing your triceps to help out your shoulders."
stronger triceps,give,aid,technique,0.426,0.697,1,strongerbyscience_bench_press.html,"I don’t think you could ever pinpoint the triceps as a definite weak link at the bottom of the press, but stronger triceps can give aid to the other muscles that are more likely to acutely limit you."
subjects,perform,bench press,technique,0.426,0.697,1,frontiersin_bench_press.html,"The subjects performed the bench press according to the rules and regulations set by the International Powerlifting Federation, except that the requirement for a full stop on the chest was removed; they were allowed to touch and press, but no bounce of the barbell was allowed."
repeat,rack,bar,technique,0.424,0.696,1,Nike_bench_press.html,"Repeat, then rack the barbell."
elite athletes,perform,valsalva maneuver,technique,0.424,0.695,1,nasm_bench_press.html,Elite athletes or powerlifters may perform the Valsalva maneuver during the bench press.
different grip widths,influence_of,distal prime movers,technique,0.42,0.693,1,frontiersin_bench_press.html,"Therefore, it is speculated that different grip widths may influence the muscle activity of the distal prime movers to a greater extent than the proximal prime movers."
maximal intended velocity training,induce_in,bench press performance,technique,0.416,0.69,1,strongerbyscience_bench_press.html,Maximal intended velocity training induces greater gains in bench press performance than deliberately slower half-velocity training.
more weight,equal,more muscle,technique,0.415,0.689,1,robertson_bench_press.html,"More weight equals more muscle and strength, and hopefully a bigger bench press."
bar,graze,chest,technique,0.414,0.688,1,Nike_bench_press.html,"Lower the bar, bending your arms with elbows at a 45- to 70-degree angle, until the bar grazes your chest. -"
angle,target_of,muscle,technique,0.413,0.688,1,muscleandmotion_bench_press.html,"Clavicular part - Sternocostal part - Abdominal part Different angles of the bench press can affect the activation of this muscle, so it is essential to consider which angle will best target the desired part of the muscle. -"
clavicular part - sternocostal part - abdominal part,affect_of,muscle,technique,0.413,0.688,1,muscleandmotion_bench_press.html,"Clavicular part - Sternocostal part - Abdominal part Different angles of the bench press can affect the activation of this muscle, so it is essential to consider which angle will best target the desired part of the muscle. -"
different angles,affect_of,muscle,technique,0.413,0.688,1,muscleandmotion_bench_press.html,"Clavicular part - Sternocostal part - Abdominal part Different angles of the bench press can affect the activation of this muscle, so it is essential to consider which angle will best target the desired part of the muscle. -"
incline press,train,front delts,technique,0.413,0.688,1,strongerbyscience_bench_press.html,"Incline press will train your front delts slightly harder than flat bench will, and maybe your upper pecs as well."
horizontal flexion demands,challenge,pectoralis major,technique,0.408,0.685,1,strongerbyscience_bench_press.html,"The wider your grip, the greater lateral distance you’ll have between your hand and your shoulder, so the greater the horizontal flexion demands will be (challenging your pecs specifically)."
15° decline,produce_of,lower pectoralis major,technique,0.408,0.684,1,muscleandmotion_bench_press.html,"Decline Bench Press: In this exercise, a 15° decline will produce greater activation of the lower pectoralis major. -"
decline bench press,produce_of,lower pectoralis major,technique,0.408,0.684,1,muscleandmotion_bench_press.html,"Decline Bench Press: In this exercise, a 15° decline will produce greater activation of the lower pectoralis major. -"
incline,challenge,upper pecs,technique,0.405,0.682,1,strongerbyscience_bench_press.html,"However, based on the available research, it seems like incline still doesn’t challenge your upper pecs quite as much reverse grip benching with a wide grip does."
increases,shave,inches,technique,0.389,0.67,1,robertson_bench_press.html,Another bonus of hitting the mid-back is that increases in size will also shave some inches off your bench press stroke!
bar,extend,elbows,technique,0.384,0.667,1,strongerbyscience_bench_press.html,"When you bench with a wide grip, the bar doesn’t just magically extend your elbows for you."
kinds,move,furniture,technique,0.377,0.662,1,Nike_bench_press.html,"Why You Should Be Doing a Bench Press - You’ll improve overall upper-body strength, making all kinds of pushing exercises, including push-ups, shoulder presses, and moving furniture, feel easier. -"
article,shed,light,technique,0.363,0.652,1,robertson_bench_press.html,"Hopefully this article has shed some light on what muscles are working while benching, how to train them, and ways to improve your bench press from start to finish."
current grip,give,most potential,technique,0.313,0.616,1,strongerbyscience_bench_press.html,"However, that doesn’t necessarily mean that your current grip gives you the most potential to be the strongest."
