original_subject,aligned_subject,subject_type,original_predicate,aligned_predicate,original_object,aligned_object,object_type,confidence,domain_similarity,source,example_sentence
pectoralis major,pectoralis major,Muscle,flex,flexes,shoulder,shoulder,Joint,0.631,0.808,strongerbyscience_bench_press.html,"Because of that, the pecs and the triceps can work synergistically at both the elbow and shoulder; the pecs help the triceps extend the elbow, and the triceps help the pecs horizontally flex the shoulder."
triceps,triceps,Muscle,extend,extends,elbow,elbow,Joint,0.631,0.808,strongerbyscience_bench_press.html,"Because of that, the pecs and the triceps can work synergistically at both the elbow and shoulder; the pecs help the triceps extend the elbow, and the triceps help the pecs horizontally flex the shoulder."
eccentric phase,eccentric phase,BiomechanicalConcept,require,requires,less shoulder horizontal abduction,less shoulder horizontal abduction,Joint,0.545,0.746,nasm_bench_press.html,"In addition, this position may be less aggravating for people with a history of shoulder pain because the eccentric phase requires less shoulder horizontal abduction and places a greater emphasis on sagittal plane shoulder extension."
technique,technique,DomainEntity,negate_of,negate_of,shoulder flexion demands,shoulder flexion demands,Joint,0.537,0.741,strongerbyscience_bench_press.html,"It IS true that this technique effectively negates the vast majority of shoulder flexion demands, but it also increases range of motion and increases your risk of shoulder injury (that much horizontal flexion while in internal rotation is a good recipe for AC joint impingement)."
total force vector,total force vector,BiomechanicalConcept,influence,influences,moments,moments,BiomechanicalConcept,0.532,0.737,frontiersin_bench_press.html,This means that the total force vector could influence the moments around the elbow from flexion to an extension moment.
muscle fibers,muscle fibers,Muscle,produce,produces,most force,most force,BiomechanicalConcept,0.525,0.732,strongerbyscience_bench_press.html,"Muscle fibers themselves produce the most force when they’re around resting length, and their capacity to produce force increases or decreases as they lengthen or shorten (red curve below)."
muscles,muscles,Muscle,produce,produces,large enough internal extensor moments,large enough internal extensor moments,BiomechanicalConcept,0.525,0.732,strongerbyscience_bench_press.html,The two factors that determine whether your muscles can produce large enough internal extensor moments to lift a load are the attachment points of the muscles and the force with which they can contract. -
motion,motion,DomainEntity,limit_of,reduces,powerful sternoclavicular portion,powerful sternoclavicular portion,BiomechanicalConcept,0.518,0.727,nasm_bench_press.html,"In other words, an individual will have to use a lighter weight because this motion limits activation of the powerful sternoclavicular portion of the pectoralis muscle."
internal moment arm,internal moment arm,BiomechanicalConcept,involve_with,involves,joint angles,joint angles,Joint,0.514,0.724,strongerbyscience_bench_press.html,"To add another variable into the mix, the internal moment arm (the leverage a muscle has to pull against the bone it moves) of the muscles involved changes with joint angles as well, so not only does contractile force vary, but the ability to translate that contractile force to internal joint moments varies as well."
passive elements,passive elements,DomainEntity,produce_of,produce_of,force,force,BiomechanicalConcept,0.497,0.712,strongerbyscience_bench_press.html,"Furthermore, passive elements in the muscle – structural proteins and connective tissue – produce increasing amounts of force as a muscle lengthens as well (blue curve)."
muscles,muscles,Muscle,produce_of,produce_of,force,force,BiomechanicalConcept,0.478,0.699,strongerbyscience_bench_press.html,There’s a simple explanation: Muscles don’t produce the same amount of force over their entire range of motion.
bar,bar,Equipment,impose,impose,elbow extensor moment,elbow extensor moment,Joint,0.449,0.678,strongerbyscience_bench_press.html,"Furthermore, since they don’t allow (or at least encourage) the same degree of horizontal forces, this will help us see how the lift can still be challenging for your triceps while the bar is imposing an elbow extensor moment, and it’ll also help us understand why you can bench more than you can dumbbell bench (it’s not just a matter of stability)."
current muscle mass,current muscle mass,Muscle,produce,produces,more force,more force,BiomechanicalConcept,0.443,0.673,strongerbyscience_bench_press.html,There are only two ways to do that: a) increase your skill as a bencher so your current muscle mass can produce more force during the movement and b) add more muscle!
force,force,BiomechanicalConcept,need,need,little further explanation,little further explanation,DomainEntity,0.436,0.669,robertson_bench_press.html,"Force needs a little further explanation: Force = Mass x Acceleration Mass is essentially the weight on the bar, and acceleration is how fast you are moving the bar (remember, this is a generalization, used to prove a point)."
only factor,only factor,DomainEntity,increase,increases,contractile force,contractile force,BiomechanicalConcept,0.433,0.667,strongerbyscience_bench_press.html,"Unfortunately, you can’t change muscle attachment points, so the only factor within your control is increasing contractile force."
bar,bar,Equipment,exert_of,exert_of,force,force,BiomechanicalConcept,0.422,0.658,strongerbyscience_bench_press.html,"If you weren’t supporting the bar, it would accelerate downward at 9.8m/sec2 (due to gravity), so the bar is exerting 150kg x 9.8m/sec2 = 1470N of force upon your hands and arms."
movement pattern,movement pattern,DomainEntity,lower,lower,bar,bar,Equipment,0.608,0.863,nasm_bench_press.html,"Movement Pattern > Lower the barbell toward your chest, by flexing your elbows while maintaining scapulae retraction."
scapular retraction,scapular retraction,Joint,limit_of,reduces,scapula,scapula,Joint,0.507,0.791,nasm_bench_press.html,"Scapular retraction also limits protraction and anterior tilting of scapulae (rounding the shoulders forward) during the exercise (Duffey, 2008)."
long head,long head,DomainEntity,cross,cross,shoulder,shoulder,Joint,0.471,0.765,strongerbyscience_bench_press.html,"The other two heads only cross the elbow, while the long head also crosses the shoulder to aid in shoulder extension."
other two heads,other two heads,DomainEntity,cross,cross,elbow,elbow,Joint,0.471,0.765,strongerbyscience_bench_press.html,"The other two heads only cross the elbow, while the long head also crosses the shoulder to aid in shoulder extension."
two heads,two heads,DomainEntity,perform,perform,elbow extension,elbow extension,Joint,0.461,0.758,strongerbyscience_bench_press.html,"The two heads that originate on the humerus only perform elbow extension, while the long head can also aid in shoulder extension."
triceps,triceps,Muscle,help,help,both pecs,both pecs,DomainEntity,0.431,0.737,strongerbyscience_bench_press.html,"Also, your triceps can help out both your pecs and delts which are in a more stretched and vulnerable position."
muscle irradiation,muscle irradiation,Muscle,help,help,triceps contract,triceps contract,Muscle,0.378,0.698,strongerbyscience_bench_press.html,"Maybe muscle irradiation (when one muscle contracts hard, it’s easier for nearby muscles to contract hard – in this case, your forearm muscles contracting as hard as possible may help your triceps contract harder)."
triceps,triceps,Muscle,give,give,extra kick,extra kick,DomainEntity,0.376,0.697,strongerbyscience_bench_press.html,"Here’s how I like to think of it: pecs provide the “strength base” for the movement, while the triceps give you the extra kick you need for heavier weights."
triceps,triceps,Muscle,aid,aid,pectoralis major,pectoralis major,Muscle,0.373,0.695,strongerbyscience_bench_press.html,"However, because they allow you to impart lateral forces on the bar, your triceps actually aid your pecs substantially as well."
bench,bench,Equipment,train_of,train_of,triceps,triceps,Muscle,0.371,0.694,strongerbyscience_bench_press.html,"Because of that, the bench probably doesn’t train the long head of your triceps nearly as much as the other two heads."
elite powerlifters,elite powerlifters,BiomechanicalConcept,perform_with,perform_with,excessive lumbar extension,excessive lumbar extension,Equipment,0.37,0.693,nasm_bench_press.html,"Elite powerlifters may perform the lift with excessive lumbar extension (arched low-back), but this position is not advised for the general fitness enthusiast unless properly instructed, and the person has a specific goal to increase 1 repetition maximum performance."
shoulder flexion,shoulder flexion,Joint,demand,demand,peak,peak,DomainEntity,0.363,0.688,strongerbyscience_bench_press.html,This should be your default assumption since the shoulder flexion demands peak at the bottom of the lift and then drop off dramatically.
hand-off,hand-off,DomainEntity,take,take,bar,bar,Equipment,0.361,0.686,robertson_bench_press.html,The hand-off should take the bar to an area above the lower pectoral or high abdominal area (see note below!).
scapulae,scapula,Joint,move,move,four basic ways,four basic ways,DomainEntity,0.359,0.685,strongerbyscience_bench_press.html,Your scapulae can move four basic ways.
typical men’s barbell,typical men’s barbell,Equipment,weigh,weigh,45 pounds,45 pounds,DomainEntity,0.357,0.684,Nike_bench_press.html,"Make It Easier Lighten the load by using an empty barbell (meaning don’t add weight plates; a typical women’s barbell is about 35 pounds, while a typical men’s barbell weighs 45 pounds—so it’s still something."
triceps contract,triceps contract,Muscle,impose,impose,lateral forces,lateral forces,BiomechanicalConcept,0.347,0.677,strongerbyscience_bench_press.html,"If your elbows are pointed out, then when your triceps contract, they’re mainly imposing lateral forces on the weight."
triceps,triceps,Muscle,extend,extends,elbows,elbow,Joint,0.306,0.647,strongerbyscience_bench_press.html,"For now, so we don’t get too bogged down before getting into the really meaty part of this article, let’s just stick with the same answer: Your triceps extend your elbows."
triceps,triceps,Muscle,contribute,contribute,anything,anything,DomainEntity,0.302,0.644,strongerbyscience_bench_press.html,"However, by the top, it doesn’t feel like your triceps are contributing anything at all to the movement."
gravity,gravity,DomainEntity,pull,pull,bar,bar,Equipment,0.293,0.638,strongerbyscience_bench_press.html,"Remember, gravity is always pulling the bar straight down."
position,position,DomainEntity,place,place,shoulder,shoulder,Joint,0.29,0.636,nasm_bench_press.html,"However, this position may place the shoulder in a vulnerable position (Green, 2007)."
article,article,DomainEntity,address,address,bar path,bar path,Equipment,0.261,0.615,strongerbyscience_bench_press.html,This article addresses bar path in much greater detail.
few people,few people,DomainEntity,prefer,prefer,retraction,retraction,TechniqueCue,0.248,0.606,strongerbyscience_bench_press.html,A few people actually prefer retraction and elevation.
most elite lifters,most elite lifters,DomainEntity,utilize,utilize,bar path,bar path,Equipment,0.236,0.597,strongerbyscience_bench_press.html,"Most elite lifters utilize this bar path (up and back, then straight up), whereas most novice lifters drive the bar straight up initially, then up and back to lock out."
most novice lifters,most novice lifters,DomainEntity,drive,drive,bar,bar,Equipment,0.236,0.597,strongerbyscience_bench_press.html,"Most elite lifters utilize this bar path (up and back, then straight up), whereas most novice lifters drive the bar straight up initially, then up and back to lock out."
descent,descent,DomainEntity,lower,lower,bar,bar,Equipment,0.213,0.581,strongerbyscience_bench_press.html,Descent Your next order of business is lowering the bar.
next order,next order,DomainEntity,lower,lower,bar,bar,Equipment,0.213,0.581,strongerbyscience_bench_press.html,Descent Your next order of business is lowering the bar.
first things,first things,DomainEntity,check,check,wrist position,wrist position,Joint,0.189,0.564,strongerbyscience_bench_press.html,"First things first, check your wrist position."
internal moments,internal moments,BiomechanicalConcept,calculate,calculate,same way,same way,DomainEntity,0.161,0.544,strongerbyscience_bench_press.html,Internal moments are calculated the same way external moments are.
bench press,bench press,Exercise,reduce,reduces,workload,workload,BiomechanicalConcept,0.618,0.834,muscleandmotion_bench_press.html,Overly narrow barbell grip Gripping the barbell with your hands too close together during the bench press reduces the workload placed on the pectoralis major and increases the amount of work done by the anterior deltoid and triceps muscles.
pectoralis muscles,pectoralis major,Muscle,enter,enter,stretch reflex position,stretch reflex position,DomainEntity,0.592,0.816,nasm_bench_press.html,"When performing a bench press with a retracted scapula, some argue the pectoralis muscles enter the stretch reflex position sooner during the eccentric phase."
bar,bar,Equipment,impose,impose,flexor,flexor,DomainEntity,0.576,0.804,strongerbyscience_bench_press.html,The trickier part: Whether the bar imposes a flexor or extensor moment at the elbow depends on your grip width.
medium grip width,medium grip width,TechniqueCue,create,create,elbow flexion moments,elbow flexion moments,Joint,0.546,0.783,frontiersin_bench_press.html,"Furthermore, the wide grip width creates medially directed resultant forces, the medium grip width creates mainly vertical resultant forces, and the narrow grip width creates laterally directed resultant forces, as well as elbow flexion moments."
medium grip width,medium grip width,TechniqueCue,create,create,mainly vertical resultant forces,mainly vertical resultant forces,BiomechanicalConcept,0.546,0.783,frontiersin_bench_press.html,"Furthermore, the wide grip width creates medially directed resultant forces, the medium grip width creates mainly vertical resultant forces, and the narrow grip width creates laterally directed resultant forces, as well as elbow flexion moments."
narrow grip width,narrow grip width,TechniqueCue,create,create,laterally directed resultant forces,laterally directed resultant forces,BiomechanicalConcept,0.546,0.783,frontiersin_bench_press.html,"Furthermore, the wide grip width creates medially directed resultant forces, the medium grip width creates mainly vertical resultant forces, and the narrow grip width creates laterally directed resultant forces, as well as elbow flexion moments."
wide grip width,wide grip width,TechniqueCue,create,create,medially directed resultant forces,medially directed resultant forces,BiomechanicalConcept,0.546,0.783,frontiersin_bench_press.html,"Furthermore, the wide grip width creates medially directed resultant forces, the medium grip width creates mainly vertical resultant forces, and the narrow grip width creates laterally directed resultant forces, as well as elbow flexion moments."
assists,assists,DomainEntity,stabilize,stabilize,torso,torso,DomainEntity,0.539,0.778,muscleandmotion_bench_press.html,Pectoralis major – primary shoulder horizontal adduction - Anterior deltoid – assists in shoulder horizontal adduction - Coracobrachialis – assists in shoulder horizontal adduction - Triceps brachii – elbow extension - Serratus anterior – scapula protraction - Abdominal muscles – stabilize the torso How to bench press properly: step-by-step - Lie with your back on a flat bench and hold a barbell in your hands.
bar,bar,Equipment,apply,appliesForce,downward force,downward force,BiomechanicalConcept,0.539,0.778,strongerbyscience_bench_press.html,"In the bench press, the bar applies a downward force that exerts an external flexor moment at your elbow, and external extensor and horizontal extensor moments at your shoulder. -"
wide and medium grip widths,wide and medium grip widths,TechniqueCue,produce,produces,similar shoulder,similar shoulder,Joint,0.534,0.774,frontiersin_bench_press.html,"Hence, the wide and medium grip widths produced similar shoulder and elbow joint moments and moment arm at the first located lowest barbell velocity."
position,position,DomainEntity,create_of,create_of,support,support,DomainEntity,0.529,0.771,nasm_bench_press.html,"This position creates a stable base of support against the bench for the shoulders, decreases anterior forces through the shoulder complex particularly during the eccentric phase, and may improve activation of the pectoralis muscles (Duffey, 2008; Bench Press Analysis)."
grip width,grip width,TechniqueCue,determine,influences,horizontal flexion demands,horizontal flexion demands,BiomechanicalConcept,0.527,0.769,strongerbyscience_bench_press.html,"In simple terms, grip width determines horizontal flexion demands; the further the lateral distance between your hand and your shoulder, the longer the horizontal flexion moment arm."
muscles,muscles,Muscle,generate_in,generate_in,sticking region,sticking region,DomainEntity,0.504,0.753,frontiersin_bench_press.html,"Considering EMG activity during different grip widths along with the horizontal forces around the sticking region could provide more detailed information about how these muscles generate forces in the sticking region during different grip widths, and how to manipulate the sticking region by choosing a grip width that supports individual strength and weaknesses."
grip widths,grip widths,TechniqueCue,demonstrate,demonstrate,similar horizontal forces,similar horizontal forces,BiomechanicalConcept,0.495,0.746,frontiersin_bench_press.html,"During the sticking region, all grip widths demonstrated similar horizontal forces, but resultant forces decreased, which suggests that this is a poor biomechanical region despite the grip width that is used in the bench press exercise."
medium and wide grip widths,medium and wide grip widths,TechniqueCue,decrease,decreases,shoulder extension moments,shoulder extension moments,Joint,0.494,0.746,frontiersin_bench_press.html,"Where the medium and wide grip widths decreased the shoulder extension moments, the narrow grip width increased the shoulder extension moment during the sticking region."
greater shoulder flexion moment,greater shoulder flexion moment,Joint,create_on,create_on,proximal prime movers,proximal prime movers,DomainEntity,0.492,0.745,frontiersin_bench_press.html,"A greater shoulder flexion moment could create higher demands on the proximal prime movers, while the narrow grip width could create higher demands on the distal prime movers; however, the only difference in muscle activity between the three grip widths was found in the medial triceps brachii, which was lower in the wide grip condition as compared with the other two."
narrow grip width,narrow grip width,TechniqueCue,create_on,create_on,distal prime movers,distal prime movers,DomainEntity,0.492,0.745,frontiersin_bench_press.html,"A greater shoulder flexion moment could create higher demands on the proximal prime movers, while the narrow grip width could create higher demands on the distal prime movers; however, the only difference in muscle activity between the three grip widths was found in the medial triceps brachii, which was lower in the wide grip condition as compared with the other two."
wide and medium grip widths,wide and medium grip widths,TechniqueCue,produce,produces,greater horizontal shoulder moments,greater horizontal shoulder moments,Joint,0.479,0.735,frontiersin_bench_press.html,The wide and medium grip widths produced greater horizontal shoulder moments than the narrow grip width during the sticking region.
lateral triceps,lateral triceps,Muscle,increase,increases,muscle activity,muscle activity,Muscle,0.476,0.733,frontiersin_bench_press.html,"Furthermore, the medial triceps increased muscle activity through the regions for the wide and medium bench press conditions, while the lateral triceps increased muscle activity from the pre-sticking to the post-sticking region."
medial triceps,medial triceps,Muscle,increase,increases,muscle activity,muscle activity,Muscle,0.476,0.733,frontiersin_bench_press.html,"Furthermore, the medial triceps increased muscle activity through the regions for the wide and medium bench press conditions, while the lateral triceps increased muscle activity from the pre-sticking to the post-sticking region."
bench press,bench press,Exercise,maximize,maximize,chest and triceps development,chest and triceps development,Muscle,0.475,0.732,strongerbyscience_bench_press.html,"Will the bench press, alone, maximize chest and triceps development?"
muscle,muscle,Muscle,perform,perform,eccentric muscle action,eccentric muscle action,Muscle,0.475,0.732,nasm_bench_press.html,"It is also important to note that muscle activation varies depending if the muscle is performing an eccentric muscle action or a concentric muscle contraction, as well as the technique selected by the lifter (i.e., wide grip versus narrow grip)."
triceps,triceps,Muscle,hit,targetsMuscle,floor,floor,DomainEntity,0.475,0.732,Nike_bench_press.html,"If the range of motion is tricky for you, do a floor press by lying face up on the floor and lowering your arms until your triceps hit the floor."
many people,many people,DomainEntity,supinate,supinate,forearms,forearms,DomainEntity,0.469,0.728,strongerbyscience_bench_press.html,"However, for other people, it’s much less comfortable than benching with a pronated grip; many people can’t comfortably supinate their forearms well enough, it puts a pretty fair amount of stress on your wrists since you have to reverse grip bench with your wrists cocked back, and it puts a fair amount of stress on your biceps tendons and the other muscles/tendons/ligaments on the front of your shoulder."
wide grip,wide grip,TechniqueCue,produce,produces,13.1–15.7% lateral forces,13.1–15.7% lateral forces,BiomechanicalConcept,0.466,0.726,frontiersin_bench_press.html,"Furthermore, the wide grip width produced 13.1–15.7% lateral forces, while the medium and narrow grip widths produced 0.4–1.8 and 8.5–10.1% medially directed forces of the vertical force produced during the sticking region, respectively."
stronger arm,stronger arm,DomainEntity,support,support,load,load,DomainEntity,0.463,0.723,strongerbyscience_bench_press.html,"For these people, the arm they lock out first is generally the weaker arm – the stronger arm supports the load while the weaker arm gets to press the weight out at an angle, instead of straight up."
horizontal forces,horizontal forces,BiomechanicalConcept,investigate_of,investigate_of,horizontal force component,horizontal force component,BiomechanicalConcept,0.462,0.723,frontiersin_bench_press.html,"Duffey and Challis () therefore suggested that the horizontal forces during bench press result from the muscles' engagement in order to generate vertical force; they did not, however, investigate the effect of a horizontal force component in the sticking region."
upper arms,upper arms,DomainEntity,abduct,abducts,about 45°,about 45°,DomainEntity,0.459,0.721,nasm_bench_press.html,"Start with a standard grip of the bar approximately shoulder-width and the upper arms abducted about 45°, and avoid an excessively wide or narrow grip."
30° inclination,30° inclination,DomainEntity,produce_of,produce_of,pectoralis major’s upper portion,pectoralis major’s upper portion,Muscle,0.455,0.718,muscleandmotion_bench_press.html,"Incline Bench Press: In this exercise, a 30° inclination will produce greater activation of the pectoralis major’s upper portion."
incline bench press,incline bench press,Exercise,produce_of,produce_of,pectoralis major’s upper portion,pectoralis major’s upper portion,Muscle,0.455,0.718,muscleandmotion_bench_press.html,"Incline Bench Press: In this exercise, a 30° inclination will produce greater activation of the pectoralis major’s upper portion."
technical improvements,technical improvements,DomainEntity,help,help,bench press,bench press,Exercise,0.455,0.718,strongerbyscience_bench_press.html,"Bench with a variety of different grips (both width, and pronated/supinated) Pin press from varying heights Board press with various boards DB bench press Bench with a cambered (MacDonald) bar Bench with pauses of varying lengths At the end of the day… Ultimately, technical improvements can help your bench press dramatically (for both strength and longevity)."
barbell bench press,barbell bench press,Exercise,build,build,serious upper-body strength,serious upper-body strength,DomainEntity,0.453,0.717,Nike_bench_press.html,"The barbell bench press, one of the “big three” in powerlifting, builds serious upper-body strength and, you guessed it, power, thanks to the number of muscle fibers it activates with every rep."
lifter,lifter,DomainEntity,perform,perform,same testing routine,same testing routine,DomainEntity,0.452,0.716,frontiersin_bench_press.html,"Then, the lifter performed the same testing routine as they did with the first grip width."
wide and medium grip widths,wide and medium grip widths,TechniqueCue,enable,enable,more load,more load,DomainEntity,0.449,0.713,frontiersin_bench_press.html,It is also speculated that the wide and medium grip widths enable more load to be lifted because they produce greater shoulder flexion moments during all events.
bar path,bar path,Equipment,affect,influences,horizontal flexion demands,horizontal flexion demands,BiomechanicalConcept,0.446,0.711,strongerbyscience_bench_press.html,"Bar path doesn’t affect horizontal flexion demands, but grip width does."
bench press,bench press,Exercise,engage,engage,so many muscles,so many muscles,Muscle,0.443,0.709,Nike_bench_press.html,"Because the bench press engages so many muscles at once, it can help you build muscle mass and see definition quicker than most upper-body exercises."
bar,bar,Equipment,touch_for,touch_for,maximum muscle engagement,maximum muscle engagement,Muscle,0.442,0.709,muscleandmotion_bench_press.html,"Not using a full range of motion is often due to a lack of knowledge, but this can easily be corrected by understanding that the bar should touch the chest for maximum muscle engagement."
powerlifters,powerlifters,BiomechanicalConcept,arch,arch,back,back,DomainEntity,0.439,0.706,muscleandmotion_bench_press.html,"Powerlifters arch their back and lift their chest up in order to reduce the distance the barbell needs to travel from the starting position to the chest, thus allowing them to lift heavier weights. *"
kinematic factors,kinematic factors,DomainEntity,influence_in,influence_in,injury risk,injury risk,DomainEntity,0.438,0.706,strongerbyscience_bench_press.html,Kinematic Factors influencing performance in injury risk in the bench press exercise.
triceps,triceps,Muscle,help,help,shoulders,shoulder,Joint,0.436,0.704,strongerbyscience_bench_press.html,"While tucking enough that your elbows wind up in front of the bar does make the lift harder on your triceps, this technique can also help you drive the bar back up off your chest (as discussed in the previous section) at the start of the press, allowing your triceps to help out your shoulders."
stronger triceps,stronger triceps,Muscle,give,give,aid,aid,DomainEntity,0.426,0.697,strongerbyscience_bench_press.html,"I don’t think you could ever pinpoint the triceps as a definite weak link at the bottom of the press, but stronger triceps can give aid to the other muscles that are more likely to acutely limit you."
subjects,subjects,DomainEntity,perform,perform,bench press,bench press,Exercise,0.426,0.697,frontiersin_bench_press.html,"The subjects performed the bench press according to the rules and regulations set by the International Powerlifting Federation, except that the requirement for a full stop on the chest was removed; they were allowed to touch and press, but no bounce of the barbell was allowed."
repeat,repeat,DomainEntity,rack,rack,bar,bar,Equipment,0.424,0.696,Nike_bench_press.html,"Repeat, then rack the barbell."
elite athletes,elite athletes,DomainEntity,perform,perform,valsalva maneuver,valsalva maneuver,DomainEntity,0.424,0.695,nasm_bench_press.html,Elite athletes or powerlifters may perform the Valsalva maneuver during the bench press.
different grip widths,different grip widths,TechniqueCue,influence_of,influence_of,distal prime movers,distal prime movers,DomainEntity,0.42,0.693,frontiersin_bench_press.html,"Therefore, it is speculated that different grip widths may influence the muscle activity of the distal prime movers to a greater extent than the proximal prime movers."
maximal intended velocity training,maximal intended velocity training,BiomechanicalConcept,induce_in,induce_in,bench press performance,bench press performance,Exercise,0.416,0.69,strongerbyscience_bench_press.html,Maximal intended velocity training induces greater gains in bench press performance than deliberately slower half-velocity training.
more weight,more weight,DomainEntity,equal,equal,more muscle,more muscle,Muscle,0.415,0.689,robertson_bench_press.html,"More weight equals more muscle and strength, and hopefully a bigger bench press."
bar,bar,Equipment,graze,graze,chest,pectoralis major,Muscle,0.414,0.688,Nike_bench_press.html,"Lower the bar, bending your arms with elbows at a 45- to 70-degree angle, until the bar grazes your chest. -"
angle,angle,DomainEntity,target_of,target_of,muscle,muscle,Muscle,0.413,0.688,muscleandmotion_bench_press.html,"Clavicular part - Sternocostal part - Abdominal part Different angles of the bench press can affect the activation of this muscle, so it is essential to consider which angle will best target the desired part of the muscle. -"
clavicular part - sternocostal part - abdominal part,clavicular part - sternocostal part - abdominal part,DomainEntity,affect_of,affect_of,muscle,muscle,Muscle,0.413,0.688,muscleandmotion_bench_press.html,"Clavicular part - Sternocostal part - Abdominal part Different angles of the bench press can affect the activation of this muscle, so it is essential to consider which angle will best target the desired part of the muscle. -"
different angles,different angles,DomainEntity,affect_of,affect_of,muscle,muscle,Muscle,0.413,0.688,muscleandmotion_bench_press.html,"Clavicular part - Sternocostal part - Abdominal part Different angles of the bench press can affect the activation of this muscle, so it is essential to consider which angle will best target the desired part of the muscle. -"
incline press,incline press,DomainEntity,train,targetsMuscle,front delts,anterior deltoid,Muscle,0.413,0.688,strongerbyscience_bench_press.html,"Incline press will train your front delts slightly harder than flat bench will, and maybe your upper pecs as well."
horizontal flexion demands,horizontal flexion demands,BiomechanicalConcept,challenge,challenge,pectoralis major,pectoralis major,Muscle,0.408,0.685,strongerbyscience_bench_press.html,"The wider your grip, the greater lateral distance you’ll have between your hand and your shoulder, so the greater the horizontal flexion demands will be (challenging your pecs specifically)."
15° decline,15° decline,DomainEntity,produce_of,produce_of,lower pectoralis major,lower pectoralis major,Muscle,0.408,0.684,muscleandmotion_bench_press.html,"Decline Bench Press: In this exercise, a 15° decline will produce greater activation of the lower pectoralis major. -"
decline bench press,decline bench press,Exercise,produce_of,produce_of,lower pectoralis major,lower pectoralis major,Muscle,0.408,0.684,muscleandmotion_bench_press.html,"Decline Bench Press: In this exercise, a 15° decline will produce greater activation of the lower pectoralis major. -"
incline,incline,DomainEntity,challenge,challenge,upper pecs,upper pecs,DomainEntity,0.405,0.682,strongerbyscience_bench_press.html,"However, based on the available research, it seems like incline still doesn’t challenge your upper pecs quite as much reverse grip benching with a wide grip does."
increases,increases,DomainEntity,shave,shave,inches,inches,DomainEntity,0.389,0.67,robertson_bench_press.html,Another bonus of hitting the mid-back is that increases in size will also shave some inches off your bench press stroke!
bar,bar,Equipment,extend,extends,elbows,elbow,Joint,0.384,0.667,strongerbyscience_bench_press.html,"When you bench with a wide grip, the bar doesn’t just magically extend your elbows for you."
kinds,kinds,DomainEntity,move,move,furniture,furniture,DomainEntity,0.377,0.662,Nike_bench_press.html,"Why You Should Be Doing a Bench Press - You’ll improve overall upper-body strength, making all kinds of pushing exercises, including push-ups, shoulder presses, and moving furniture, feel easier. -"
article,article,DomainEntity,shed,shed,light,light,DomainEntity,0.363,0.652,robertson_bench_press.html,"Hopefully this article has shed some light on what muscles are working while benching, how to train them, and ways to improve your bench press from start to finish."
current grip,current grip,TechniqueCue,give,give,most potential,most potential,DomainEntity,0.313,0.616,strongerbyscience_bench_press.html,"However, that doesn’t necessarily mean that your current grip gives you the most potential to be the strongest."
